['2018-07-11 23:08:40.015698', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 23:16:42.192044', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 23:22:34.785062', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 23:28:27.728781', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 23:33:54.700671', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 23:38:29.740696', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 23:42:32.035235', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 23:48:29.111076', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 23:54:08.315764', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 23:59:19.878915', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 07:08:58.062099', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 07:18:24.148108', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 07:25:47.169713', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 07:35:11.362445', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 07:48:44.385794', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 08:02:25.557266', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 08:15:16.135215', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 08:29:24.205153', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 08:42:59.471384', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 08:57:26.311132', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 09:10:49.057163', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 09:23:45.886642', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 09:37:06.117051', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 09:50:48.758622', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 10:04:48.060395', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 10:17:37.213811', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 10:31:02.356184', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 10:44:20.550271', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 10:57:17.907584', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 11:10:13.343143', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 11:23:05.523629', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 11:35:46.020189', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 11:48:27.147479', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 12:00:51.853417', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 12:13:38.774971', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 12:40:18.236572', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-12 12:52:39.749553', {'R': [65, 66, 67, 68], 'U': []}]
