['2018-07-13 07:09:31.474456', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 07:22:29.995888', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 07:36:14.396186', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 07:48:53.624247', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 08:04:42.544878', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 08:14:00.152183', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 08:27:00.452055', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 08:40:37.293502', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 08:54:26.124604', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 09:09:11.479804', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 09:24:01.739000', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 09:38:39.323206', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 09:53:38.518717', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 10:10:14.286194', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 10:26:16.307812', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 10:42:40.558249', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 11:00:50.464398', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 11:15:34.318704', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 11:29:29.852763', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 11:43:00.641549', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 11:56:44.336782', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 12:09:55.760057', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 12:22:46.879324', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 12:35:48.337926', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 12:48:47.753640', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 13:01:31.248364', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 13:15:56.558288', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
